Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.000000,-10.744811,-7.619048,8.791209,6.056166,12.698413,6.446886,68.962149,-91.623932,-11.916972,-45.128205,41.221001,188.131868,-15.433455,-38.876679,-12.307692,238.925519,4.102564,33.015873,-8.400488,39.658120,-102.954823,22.075702,-12.307692
0.003906,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360
0.007812,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,-0.976801,0.195360,0.195360,0.195360,-0.976801,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360
0.011719,0.195360,0.195360,0.195360,0.195360,0.195360,0.195360,1.367521,-0.586081,0.195360,0.195360,0.195360,-1.367521,0.195360,0.195360,0.195360,-0.976801,0.195360,0.976801,0.195360,0.586081,0.195360,0.195360,0.195360
0.015625,0.976801,-0.195360,0.195360,0.195360,0.976801,0.195360,1.367521,-1.758242,0.586081,0.195360,0.195360,13.089133,2.148962,-1.367521,-0.195360,13.870574,0.195360,-0.195360,0.195360,0.976801,0.195360,0.195360,-0.195360
0.019531,1.367521,0.195360,-0.195360,0.195360,0.976801,0.586081,-4.884005,3.711844,0.195360,-0.976801,-0.195360,7.619048,0.195360,0.586081,0.195360,6.056166,0.195360,-3.321123,0.586081,-1.367521,0.195360,1.367521,0.195360
0.023438,-1.367521,2.148962,-0.586081,0.195360,-1.367521,0.195360,-11.135531,12.307692,-1.758242,-0.976801,-1.367521,-35.750916,-7.228327,5.665446,0.976801,-40.048840,-0.195360,-2.148962,0.976801,-5.665446,0.976801,2.148962,0.976801
0.027344,-2.148962,1.367521,0.195360,0.586081,-2.148962,-0.586081,-0.195360,2.930403,-1.367521,0.976801,-0.195360,-33.015873,-4.493284,2.539683,0.976801,-33.797314,0.195360,4.493284,0.195360,-1.367521,0.976801,-0.586081,0.976801
0.031250,2.539683,-2.539683,0.586081,0.586081,2.148962,0.195360,16.214896,-17.387057,2.148962,2.148962,2.148962,49.035409,11.135531,-9.181929,-0.976801,55.677656,0.586081,4.493284,-0.195360,8.400488,-1.367521,-3.321123,-0.976801
0.035156,3.711844,-2.930403,0.195360,-0.195360,2.930403,0.976801,3.321123,-6.837607,2.930403,-0.586081,0.976801,54.114774,9.181929,-4.884005,-1.758242,55.677656,-0.586081,-4.884005,0.195360,4.493284,-0.976801,0.586081,-1.758242
0.039062,0.976801,0.976801,-0.976801,-0.195360,0.586081,0.195360,-29.108669,29.499389,-1.758242,-5.274725,-3.711844,-30.671551,-12.307692,12.698413,-0.586081,-42.002442,-1.758242,-13.870574,1.367521,-12.307692,2.539683,8.400488,-0.586081
0.042969,8.009768,0.976801,-4.884005,0.195360,7.619048,1.758242,-54.505495,49.035409,-1.758242,-11.135531,-7.619048,-13.479853,-14.652015,13.479853,-2.930403,-31.062271,-2.148962,-25.592186,5.274725,-25.201465,1.367521,13.479853,-2.930403
0.046875,2.539683,8.009768,-10.744811,-2.539683,0.976801,1.758242,-79.511600,74.041514,-8.009768,-11.916972,-11.526252,-117.020757,-30.671551,22.466422,2.539683,-144.371184,-2.539683,-28.717949,11.135531,-40.048840,2.148962,13.479853,2.539683
0.050781,-0.976801,7.619048,-8.791209,0.586081,-2.930403,-1.758242,-84.590965,87.716728,-15.042735,-8.791209,-13.089133,-186.568987,-40.439560,26.764347,4.493284,-216.654457,-5.274725,-20.903541,9.181929,-43.565324,6.446886,11.526252,4.493284
0.054688,0.586081,-0.586081,-9.181929,-0.586081,-3.321123,-4.493284,-61.147741,59.584860,-11.526252,-5.274725,-12.307692,-86.153846,-21.294261,14.261294,-0.976801,-108.424908,-6.446886,-16.605617,9.572650,-28.327228,4.102564,9.963370,-0.976801
0.058594,3.711844,-8.791209,-8.009768,-2.148962,-2.930403,-7.619048,-45.518926,40.830281,-9.572650,-3.711844,-9.963370,-24.029304,-9.963370,12.698413,-5.665446,-44.346764,-9.181929,-17.387057,8.400488,-15.042735,2.148962,14.652015,-5.665446
0.062500,-0.976801,-6.446886,-4.493284,-0.195360,-5.665446,-10.744811,-58.803419,62.710623,-9.181929,-7.619048,-10.744811,-103.736264,-25.982906,40.830281,-16.214896,-130.695971,-13.870574,-20.903541,4.884005,-23.247863,10.744811,29.499389,-16.214896
0.066406,0.195360,-8.009768,-3.321123,-2.930403,-5.665446,-13.479853,-67.399267,71.697192,-9.181929,-9.181929,-12.698413,-141.636142,-38.485958,55.286935,-16.996337,-172.893773,-12.698413,-20.512821,3.711844,-32.625153,14.261294,38.876679,-16.996337
0.070312,5.274725,0.195360,-2.148962,-1.758242,-0.586081,-5.665446,-42.002442,50.598291,-2.148962,-1.758242,-4.884005,-87.716728,-19.340659,42.393162,-9.572650,-111.550672,-7.228327,-6.056166,2.539683,-34.578755,15.824176,32.234432,-9.572650
0.074219,9.572650,0.195360,0.586081,-2.539683,0.195360,-1.367521,-28.327228,37.313797,-2.930403,5.665446,2.539683,-75.604396,-7.619048,31.062271,-1.758242,-91.623932,-6.837607,0.195360,-0.195360,-25.592186,15.042735,21.684982,-1.758242
0.078125,7.228327,-0.976801,2.539683,-0.195360,-6.446886,0.195360,-47.863248,63.882784,-8.009768,11.526252,1.758242,-99.829060,-20.122100,38.876679,10.354090,-123.663004,-3.711844,-8.400488,-2.148962,-33.797314,16.214896,24.810745,10.354090
0.082031,7.619048,-4.102564,-2.148962,1.758242,-10.354090,0.976801,-58.412698,71.306471,-8.791209,15.433455,-0.586081,-89.670330,-22.466422,39.658120,11.526252,-113.113553,-0.586081,-9.963370,2.539683,-27.545788,9.181929,25.982906,11.526252
0.085938,7.619048,-6.446886,-8.400488,2.930403,-7.619048,-4.102564,-44.737485,53.333333,-8.400488,18.559219,-1.367521,-102.954823,-20.122100,36.532357,1.758242,-112.332112,0.195360,-10.744811,8.791209,-18.949939,7.228327,22.857143,1.758242
